txn_id,amount,hour,velocity,is_new_device,is_vpn,sim_swap,num_meters,fail_logins,distance,account_age,disco,state,channel,is_fraud
TXN0000048,19235,9,2,1,0,0,1,0,8.1,1290,AEDC,Edo,web,0
TXN0000049,1546,9,1,0,0,0,1,0,14.3,992,BEDC,Lagos,mobile_app,0
TXN0000050,2282,19,3,0,0,0,1,1,11.5,565,IKEDC,Kaduna,pos,0
TXN0000051,17636,11,1,0,0,0,1,0,14.6,891,YEDC,Rivers,mobile_app,0
TXN0000052,61490,4,8,1,0,0,6,4,375.2,39,EEDC,Kano,mobile_app,1
TXN0000053,5182,13,2,1,0,0,1,0,4.9,292,BEDC,Rivers,ussd,0
TXN0000054,7095,8,3,0,0,0,1,0,14.8,1991,KEDCO,Enugu,web,0
TXN0000055,18545,12,1,0,0,0,1,1,12.0,404,AEDC,Delta,agent,0
TXN0000056,5242,20,2,0,0,0,1,1,12.4,905,JEDC,Kaduna,mobile_app,0
TXN0000057,17327,21,1,0,1,0,1,1,9.9,411,EKEDC,Imo,mobile_app,0
TXN0000058,23740,20,2,0,1,0,1,1,8.6,1483,EKEDC,Lagos,mobile_app,0
TXN0000059,23965,9,2,0,0,0,2,0,7.9,1153,EEDC,Abuja,mobile_app,0
TXN0000060,4310,9,3,0,0,0,1,1,5.4,1489,BEDC,Kano,agent,0
TXN0000061,79276,2,24,0,1,1,11,5,367.0,18,KAEDCO,Lagos,agent,1
TXN0000062,4202,13,1,1,0,0,2,0,5.9,459,JEDC,Imo,agent,0
TXN0000063,22069,13,2,0,0,0,1,1,8.5,1966,EKEDC,Imo,pos,0
TXN0000064,16977,19,3,1,0,0,1,1,7.2,199,KAEDCO,Abuja,agent,0
TXN0000065,11590,17,1,0,0,0,1,0,2.0,520,BEDC,Oyo,web,0
TXN0000066,20585,20,3,0,0,0,2,0,5.4,1759,EKEDC,Rivers,web,0
TXN0000067,5406,21,3,1,0,0,1,0,11.5,690,BEDC,Kano,ussd,0
TXN0000068,1641,17,3,0,0,0,2,0,1.4,1420,KEDCO,Lagos,web,0
TXN0000069,4229,7,2,1,0,0,1,0,14.1,1938,KEDCO,Enugu,ussd,0
TXN0000070,2423,9,1,0,0,0,2,1,13.7,1022,KAEDCO,Oyo,mobile_app,0
TXN0000071,3447,17,2,0,0,0,2,1,0.4,1364,EEDC,Abuja,mobile_app,0
TXN0000072,8024,7,1,0,0,0,1,0,4.8,1683,AEDC,Enugu,mobile_app,0
TXN0000073,21592,14,3,0,1,0,2,1,0.1,992,BEDC,Kaduna,mobile_app,0
TXN0000074,11466,19,1,1,0,0,1,0,11.8,1766,JEDC,Enugu,agent,0
TXN0000075,14116,18,2,0,0,0,1,1,11.6,1844,YEDC,Abuja,web,0
TXN0000076,13791,13,2,0,0,0,2,0,9.9,898,YEDC,Borno,ussd,0
TXN0000077,251548,22,15,0,1,1,11,3,183.3,50,KAEDCO,Enugu,agent,1
TXN0000078,18560,7,3,0,0,0,1,0,0.6,307,IKEDC,Oyo,web,0
TXN0000079,14696,9,1,1,0,0,1,0,11.3,1690,IBEDC,Oyo,web,0
TXN0000080,21356,21,1,0,0,0,1,1,11.1,1681,JEDC,Borno,ussd,0
TXN0000081,24726,9,3,1,0,0,2,1,1.9,914,EKEDC,Rivers,ussd,0
TXN0000082,24153,18,3,0,1,0,2,0,1.8,387,KEDCO,Abuja,agent,0
TXN0000083,4429,14,2,0,1,0,1,1,9.5,152,EKEDC,Oyo,web,0
TXN0000084,4579,14,2,0,0,0,2,1,11.3,881,EKEDC,Lagos,web,0
TXN0000085,5626,17,3,0,0,0,2,0,14.8,824,AEDC,Imo,web,0
TXN0000086,2485,21,3,0,0,0,1,0,7.9,1668,KEDCO,Abuja,mobile_app,0
TXN0000087,13464,10,2,1,0,0,1,0,0.5,1929,KEDCO,Enugu,pos,0
TXN0000088,7520,20,1,1,0,0,1,0,8.9,1185,KAEDCO,Lagos,web,0
TXN0000089,23734,12,1,1,0,0,1,1,0.3,1266,JEDC,Enugu,web,0
TXN0000090,24013,8,1,1,0,0,1,1,10.1,1340,AEDC,Lagos,web,0
TXN0000091,18567,17,3,0,0,0,1,1,5.9,347,KAEDCO,Abuja,pos,0
TXN0000092,173877,0,14,1,1,1,6,5,89.7,44,AEDC,Edo,web,1
TXN0000093,22215,16,3,1,0,0,1,1,9.0,1061,IKEDC,Imo,mobile_app,0
TXN0000094,17672,14,1,0,0,0,1,0,5.8,424,YEDC,Kaduna,mobile_app,0
TXN0000095,234943,4,18,0,1,1,11,6,357.2,6,BEDC,Oyo,agent,1
TXN0000096,15417,14,1,0,1,0,2,1,5.2,229,EKEDC,Kaduna,web,0
TXN0000097,13625,12,2,1,0,0,2,1,9.4,1559,IKEDC,Enugu,mobile_app,0
TXN0000098,4204,17,2,1,0,0,2,1,1.4,1064,YEDC,Imo,pos,0
TXN0000099,7937,12,1,0,0,0,1,0,1.3,1895,JEDC,Lagos,web,0
TXN0000100,7031,12,2,0,0,0,1,1,12.8,585,EEDC,Rivers,ussd,0
TXN0000101,14783,18,3,1,0,0,2,0,1.6,794,EKEDC,Edo,agent,0
TXN0000102,2572,13,3,0,0,0,1,1,4.4,149,YEDC,Delta,web,0
TXN0000103,21094,7,2,0,0,0,1,1,7.0,471,IKEDC,Rivers,web,0
TXN0000104,15384,17,1,1,0,0,1,1,9.7,1329,IBEDC,Lagos,mobile_app,0
TXN0000105,6958,7,2,0,0,0,2,0,10.6,643,IBEDC,Kano,mobile_app,0
TXN0000106,20412,19,2,0,0,0,1,1,14.4,891,EEDC,Borno,pos,0
TXN0000107,17955,15,1,0,0,0,2,0,11.9,376,JEDC,Delta,agent,0
TXN0000108,2292,15,1,0,0,0,1,0,10.6,1024,KAEDCO,Borno,ussd,0
TXN0000109,1410,16,2,0,0,0,1,0,5.8,1050,IKEDC,Delta,mobile_app,0
TXN0000110,20138,16,3,1,0,0,2,0,10.6,1654,PHEDC,Enugu,mobile_app,0
TXN0000111,19163,13,2,0,0,0,2,1,13.3,743,BEDC,Abuja,mobile_app,0
TXN0000112,18458,14,3,0,0,0,1,0,1.7,1252,JEDC,Enugu,ussd,0
TXN0000113,15728,15,3,0,0,0,1,0,4.8,1047,KAEDCO,Enugu,ussd,0
TXN0000114,16515,7,3,0,0,0,2,0,0.0,1396,IKEDC,Borno,pos,0
TXN0000115,6720,15,2,0,1,0,2,0,4.2,1182,KAEDCO,Lagos,mobile_app,0
TXN0000116,21573,9,2,0,0,0,1,0,7.8,759,IKEDC,Kano,agent,0
TXN0000117,10726,15,2,0,1,0,2,0,14.6,349,PHEDC,Enugu,mobile_app,0
TXN0000118,5347,10,1,0,0,0,1,0,4.3,409,EEDC,Abuja,ussd,0
TXN0000119,18854,10,2,0,0,0,1,0,14.3,2000,IBEDC,Abuja,mobile_app,0
TXN0000120,18117,13,2,0,0,0,2,1,13.9,1317,EEDC,Edo,mobile_app,0
TXN0000121,2337,20,3,0,0,0,1,0,8.8,598,PHEDC,Enugu,agent,0
TXN0000122,15503,10,2,0,0,0,2,0,5.5,1926,JEDC,Delta,pos,0
TXN0000123,4728,10,2,0,1,0,1,0,12.4,480,AEDC,Delta,mobile_app,0
TXN0000124,3697,12,3,0,0,0,2,0,1.1,1034,JEDC,Imo,pos,0
TXN0000125,13451,21,3,0,0,0,2,1,7.8,1610,EKEDC,Kaduna,web,0
TXN0000126,10804,7,3,1,0,0,1,1,6.3,584,BEDC,Lagos,mobile_app,0
TXN0000127,6239,10,1,0,0,0,2,1,0.9,1664,EKEDC,Delta,mobile_app,0
TXN0000128,20630,15,3,1,0,0,1,0,8.1,540,YEDC,Rivers,mobile_app,0
TXN0000129,24150,7,2,0,0,0,1,0,8.0,1623,IKEDC,Lagos,web,0
TXN0000130,15769,15,3,0,0,0,1,0,12.1,1258,YEDC,Imo,ussd,0
TXN0000131,15319,11,1,0,0,0,2,1,12.9,1148,BEDC,Edo,web,0
TXN0000132,6822,8,1,0,0,0,2,1,13.8,781,AEDC,Kaduna,mobile_app,0
TXN0000133,3919,18,1,0,0,0,1,1,9.5,169,EKEDC,Edo,mobile_app,0
TXN0000134,22627,10,1,1,0,0,2,1,14.0,1188,KEDCO,Rivers,mobile_app,0
TXN0000135,290263,4,18,1,1,1,10,6,409.1,42,YEDC,Kaduna,ussd,1
TXN0000136,15028,9,2,1,0,0,2,0,0.4,1919,EKEDC,Abuja,web,0
TXN0000137,17263,17,2,0,0,0,2,1,9.6,1306,BEDC,Imo,web,0
TXN0000138,6960,7,2,1,0,0,1,1,5.8,1627,AEDC,Kano,web,0
TXN0000139,21568,14,2,1,0,0,2,0,1.3,651,BEDC,Abuja,agent,0
TXN0000140,13325,18,2,0,0,0,2,0,13.8,734,JEDC,Borno,web,0
TXN0000141,8304,19,3,0,0,0,2,1,5.8,1768,JEDC,Kaduna,pos,0
TXN0000142,23495,21,3,0,0,0,2,0,4.1,596,KEDCO,Oyo,web,0
TXN0000143,136208,4,20,1,1,1,3,4,263.8,30,PHEDC,Delta,ussd,1
TXN0000144,8973,15,1,1,0,0,1,1,9.5,1426,EEDC,Abuja,pos,0
TXN0000145,18010,14,1,0,0,0,1,1,1.7,1306,BEDC,Enugu,web,0
TXN0000146,10194,13,1,0,0,0,1,1,8.3,1212,KAEDCO,Abuja,mobile_app,0
TXN0000147,20810,13,1,0,0,0,2,0,1.1,107,EKEDC,Edo,web,0
TXN0000148,202601,1,15,1,1,1,9,5,144.4,9,EEDC,Edo,agent,1
TXN0000149,16699,8,1,0,0,0,1,1,13.6,1878,AEDC,Delta,pos,0
TXN0000150,3585,9,3,1,0,0,2,1,10.0,288,JEDC,Enugu,ussd,0
TXN0000151,16620,14,1,0,0,0,2,0,12.9,937,IKEDC,Abuja,mobile_app,0
TXN0000152,6666,11,3,1,0,0,2,1,4.9,536,YEDC,Oyo,ussd,0
TXN0000153,23246,21,2,0,0,0,1,1,11.3,107,KAEDCO,Oyo,web,0
TXN0000154,23541,21,2,0,0,0,2,0,13.6,955,AEDC,Kaduna,ussd,0
TXN0000155,17444,9,2,0,0,0,1,1,1.2,1549,IKEDC,Oyo,web,0
TXN0000156,19567,16,3,1,0,0,1,0,10.3,967,EKEDC,Kano,mobile_app,0
TXN0000157,1307,14,3,0,0,0,2,0,6.6,1832,EEDC,Edo,mobile_app,0
TXN0000158,14490,19,2,0,0,0,1,0,6.2,413,IBEDC,Enugu,mobile_app,0
TXN0000159,13004,21,2,1,0,0,2,0,14.6,633,JEDC,Lagos,mobile_app,0
TXN0000160,5069,7,2,0,1,0,1,1,11.1,1882,KAEDCO,Rivers,mobile_app,0
TXN0000161,6807,7,1,0,0,0,1,1,6.4,1996,EKEDC,Lagos,web,0
TXN0000162,23016,20,2,0,0,0,1,0,8.9,1183,JEDC,Delta,mobile_app,0
TXN0000163,22988,14,2,0,0,0,2,0,6.6,1747,EKEDC,Lagos,web,0
TXN0000164,2115,7,2,1,0,0,2,1,11.0,420,PHEDC,Oyo,ussd,0
TXN0000165,7316,7,3,0,0,0,2,0,4.0,1044,KAEDCO,Kano,web,0
TXN0000166,24219,20,3,1,1,0,1,1,4.2,1855,YEDC,Borno,pos,0
TXN0000167,8507,9,1,1,0,0,2,1,10.4,1136,JEDC,Enugu,ussd,0
TXN0000168,24777,14,1,0,0,0,1,1,11.7,554,YEDC,Delta,web,0
TXN0000169,230542,2,13,1,0,1,5,3,450.4,9,IKEDC,Kaduna,ussd,1
TXN0000170,19471,9,3,0,0,0,1,1,12.6,380,KAEDCO,Rivers,web,0
TXN0000171,8543,14,2,0,0,0,2,0,6.0,439,EEDC,Enugu,mobile_app,0
TXN0000172,16838,9,3,1,0,0,2,0,14.1,722,EKEDC,Imo,web,0
TXN0000173,23203,18,2,0,0,0,1,1,10.8,1813,EKEDC,Kaduna,mobile_app,0
TXN0000174,8638,11,1,0,0,0,1,0,6.3,1925,KAEDCO,Edo,web,0
TXN0000175,288444,2,24,1,0,1,9,4,202.9,46,AEDC,Borno,pos,1
TXN0000176,23952,11,2,0,0,0,2,1,7.2,356,KAEDCO,Kaduna,pos,0
TXN0000177,17263,20,1,0,0,0,1,1,1.5,240,IBEDC,Borno,mobile_app,0
TXN0000178,10990,11,3,1,1,0,2,0,3.0,1013,AEDC,Delta,agent,0
TXN0000179,19071,8,3,0,0,0,2,0,4.7,1315,JEDC,Enugu,web,0
TXN0000180,1164,11,3,1,0,0,1,1,5.9,349,YEDC,Rivers,ussd,0
TXN0000181,16495,9,1,0,0,0,1,1,2.8,1874,IBEDC,Abuja,mobile_app,0
TXN0000182,8177,17,2,0,0,0,1,0,12.0,987,EKEDC,Rivers,agent,0
TXN0000183,16986,17,1,0,0,0,2,1,7.1,985,IKEDC,Borno,web,0
TXN0000184,178013,1,18,1,1,1,8,6,130.4,41,YEDC,Delta,agent,1
TXN0000185,23899,20,3,1,0,0,2,0,2.1,1586,EKEDC,Kano,web,0
TXN0000186,19934,12,3,0,0,0,2,0,5.3,584,PHEDC,Enugu,ussd,0
TXN0000187,16061,13,3,1,0,0,1,1,9.9,1541,KAEDCO,Kano,web,0
TXN0000188,18926,12,3,1,0,0,2,1,0.0,376,JEDC,Delta,web,0
TXN0000189,11296,13,2,0,0,0,1,0,6.8,1048,EKEDC,Imo,mobile_app,0
TXN0000190,20912,7,3,1,0,0,2,0,12.2,1258,JEDC,Kano,pos,0
TXN0000191,18519,9,2,1,0,0,1,0,10.9,1020,EKEDC,Imo,ussd,0
TXN0000192,6327,12,3,0,0,0,1,0,5.7,1856,YEDC,Delta,agent,0
TXN0000193,7968,10,2,1,0,0,1,1,8.3,932,KAEDCO,Enugu,pos,0
TXN0000194,22296,9,1,0,0,0,2,1,12.7,1526,BEDC,Abuja,agent,0
TXN0000195,18869,15,2,0,0,0,1,1,1.4,1002,EKEDC,Edo,ussd,0
TXN0000196,19987,21,2,0,0,0,2,1,9.5,1345,KAEDCO,Kano,mobile_app,0
TXN0000197,23939,19,2,0,0,0,1,1,8.5,1241,PHEDC,Enugu,web,0
TXN0000198,6304,19,1,0,0,0,1,0,0.5,1690,KAEDCO,Kaduna,mobile_app,0
TXN0000199,22606,10,1,0,0,0,2,1,10.3,1124,KAEDCO,Edo,web,0
TXN0000200,13769,19,3,0,0,0,2,1,7.6,814,YEDC,Oyo,web,0
TXN0000201,12637,20,2,0,1,0,2,0,1.9,605,IKEDC,Imo,pos,0
TXN0000202,18045,21,2,0,0,0,1,1,7.2,355,AEDC,Imo,pos,0
TXN0000203,19045,19,1,1,0,0,1,1,0.6,872,IKEDC,Kaduna,mobile_app,0
TXN0000204,15543,14,1,0,0,0,2,1,0.6,1556,EKEDC,Enugu,web,0
TXN0000205,17588,18,3,0,0,0,1,1,11.7,592,JEDC,Oyo,web,0
TXN0000206,7233,17,3,0,0,0,2,1,4.0,472,PHEDC,Imo,web,0
TXN0000207,24003,8,1,0,0,0,1,0,6.5,1628,IKEDC,Kaduna,web,0
TXN0000208,20412,20,3,1,0,0,2,0,2.8,1058,EKEDC,Enugu,pos,0
TXN0000209,14436,19,1,0,0,0,1,1,12.1,1392,AEDC,Delta,mobile_app,0
TXN0000210,1707,16,1,0,0,0,1,0,12.1,275,IBEDC,Abuja,agent,0
TXN0000211,4431,17,2,1,0,0,2,0,12.2,1856,IBEDC,Imo,mobile_app,0
TXN0000212,1001,20,1,1,0,0,1,1,10.6,1761,EKEDC,Enugu,mobile_app,0
TXN0000213,20331,7,3,1,0,0,1,0,7.0,1511,IKEDC,Lagos,mobile_app,0
TXN0000214,2116,10,2,0,0,0,1,0,4.5,745,BEDC,Enugu,web,0
TXN0000215,20594,10,2,1,0,0,2,1,6.7,1398,KAEDCO,Kaduna,ussd,0
TXN0000216,128053,1,15,1,1,1,5,7,289.0,9,IBEDC,Delta,ussd,1
TXN0000217,2152,8,3,1,0,0,1,0,6.3,647,IBEDC,Rivers,pos,0
TXN0000218,18305,8,1,0,0,0,1,0,7.9,1041,PHEDC,Enugu,mobile_app,0
TXN0000219,904,11,1,1,0,0,1,0,2.5,639,EKEDC,Abuja,web,0
TXN0000220,3437,14,2,0,0,0,2,1,13.6,770,AEDC,Enugu,web,0
TXN0000221,5903,14,3,0,0,0,1,0,9.4,254,KEDCO,Kano,agent,0
TXN0000222,8106,18,1,0,0,0,2,0,0.3,694,YEDC,Kano,web,0
TXN0000223,2984,8,1,0,0,0,1,0,8.4,819,IKEDC,Lagos,mobile_app,0
TXN0000224,24370,17,3,0,0,0,1,1,5.4,1184,EEDC,Borno,pos,0
TXN0000225,2944,17,1,0,0,0,1,1,6.2,806,PHEDC,Rivers,pos,0
TXN0000226,17323,20,2,1,0,0,1,1,11.5,1134,BEDC,Kano,agent,0
TXN0000227,7227,16,2,0,0,0,2,1,14.5,1925,AEDC,Kano,mobile_app,0
TXN0000228,283234,4,15,1,0,1,11,8,96.1,10,KAEDCO,Borno,ussd,1
TXN0000229,11604,18,2,0,0,0,1,0,1.7,935,EKEDC,Rivers,web,0
TXN0000230,14766,12,1,1,1,0,1,0,5.8,378,KAEDCO,Edo,mobile_app,0
TXN0000231,4875,7,3,0,0,0,1,0,10.1,1327,IBEDC,Kano,mobile_app,0
TXN0000232,12154,12,3,0,0,0,2,0,3.3,128,EEDC,Rivers,mobile_app,0
TXN0000233,10243,19,1,0,0,0,1,1,12.3,1335,JEDC,Enugu,mobile_app,0
TXN0000234,22458,12,3,1,0,0,2,0,5.9,1778,JEDC,Abuja,web,0
TXN0000235,4044,13,3,0,0,0,1,1,1.2,1009,KAEDCO,Kaduna,web,0
TXN0000236,13220,10,3,0,0,0,1,1,7.6,752,BEDC,Edo,agent,0
TXN0000237,14848,11,2,0,0,0,1,1,11.5,1269,KEDCO,Enugu,web,0
TXN0000238,16258,7,2,0,0,0,1,1,10.5,1786,KAEDCO,Delta,agent,0
TXN0000239,19955,18,1,0,0,0,2,0,5.3,1721,KAEDCO,Enugu,agent,0
TXN0000240,7134,14,3,0,0,0,2,1,14.1,1801,BEDC,Oyo,ussd,0
TXN0000241,23872,19,2,1,0,0,2,1,11.3,1835,EEDC,Enugu,agent,0
TXN0000242,14844,16,3,0,0,0,2,0,2.3,1499,KEDCO,Edo,web,0
TXN0000243,3953,16,2,0,0,0,2,0,5.2,1102,EEDC,Abuja,web,0
TXN0000244,182386,3,25,1,1,1,10,6,109.0,5,KAEDCO,Borno,agent,1
TXN0000245,10932,18,2,1,0,0,1,1,5.2,493,PHEDC,Kano,web,0
TXN0000246,15030,7,3,0,0,0,1,0,13.0,772,EEDC,Oyo,web,0
TXN0000247,8269,8,2,1,0,0,1,0,9.1,1956,JEDC,Delta,agent,0
TXN0000248,3266,16,1,0,0,0,2,0,11.4,953,KAEDCO,Edo,pos,0
TXN0000249,11904,7,1,0,0,0,1,0,1.0,1748,IBEDC,Delta,ussd,0
TXN0000250,1766,7,1,1,0,0,1,1,8.7,1963,YEDC,Enugu,ussd,0
TXN0000251,9076,19,3,0,0,0,2,1,8.0,246,JEDC,Borno,pos,0
TXN0000252,20928,13,1,0,0,0,2,1,6.0,1592,IKEDC,Kano,web,0
TXN0000253,11268,18,1,1,1,0,2,1,10.1,1441,PHEDC,Borno,mobile_app,0
TXN0000254,12059,19,1,0,0,0,1,1,2.5,1283,AEDC,Imo,mobile_app,0
TXN0000255,2873,18,2,0,0,0,1,0,2.8,1000,IBEDC,Rivers,mobile_app,0
TXN0000256,5075,10,3,0,0,0,2,1,12.8,1251,EKEDC,Rivers,web,0
TXN0000257,18222,9,1,0,0,0,1,0,0.1,616,JEDC,Imo,web,0
TXN0000258,18582,12,3,0,0,0,2,0,6.7,553,EEDC,Enugu,web,0
TXN0000259,9070,9,1,0,0,0,2,0,10.2,305,JEDC,Kaduna,mobile_app,0
TXN0000260,9035,8,1,0,0,0,2,0,6.0,520,BEDC,Abuja,pos,0
TXN0000261,6440,7,2,0,0,0,2,0,4.6,1556,IKEDC,Delta,web,0
TXN0000262,7327,19,1,1,0,0,2,1,4.6,644,EKEDC,Imo,ussd,0
TXN0000263,21566,8,1,0,0,0,1,1,4.7,1054,BEDC,Kano,ussd,0
TXN0000264,7753,18,2,1,0,0,1,1,0.3,1492,PHEDC,Delta,mobile_app,0
TXN0000265,12539,11,3,0,0,0,2,1,0.2,1371,YEDC,Lagos,web,0
TXN0000266,18366,11,3,1,0,0,2,0,9.5,1180,IKEDC,Kaduna,pos,0
TXN0000267,5760,20,3,1,0,0,1,1,4.4,639,IKEDC,Abuja,pos,0
TXN0000268,9747,16,1,1,0,0,1,0,3.7,214,AEDC,Kano,web,0
TXN0000269,14046,18,1,0,1,0,2,0,13.3,492,JEDC,Kano,web,0
TXN0000270,19854,13,2,0,0,0,1,0,2.0,1863,JEDC,Delta,web,0
TXN0000271,110917,22,10,0,0,0,5,7,57.2,35,KAEDCO,Kano,mobile_app,1
TXN0000272,14445,10,2,1,0,0,1,1,7.6,1099,KEDCO,Kaduna,ussd,0
TXN0000273,5914,13,2,0,0,0,2,1,6.7,1263,EEDC,Kaduna,web,0
TXN0000274,23222,16,3,0,0,0,2,1,9.8,588,EKEDC,Kano,web,0
TXN0000275,4754,13,1,0,0,0,1,1,6.9,483,YEDC,Lagos,pos,0
TXN0000276,16098,8,3,0,0,0,2,0,11.3,316,JEDC,Abuja,mobile_app,0
TXN0000277,21148,16,3,0,0,0,2,0,9.5,1230,KEDCO,Rivers,web,0
TXN0000278,182713,22,8,0,0,1,10,5,227.8,42,KAEDCO,Kaduna,agent,1
TXN0000279,108485,2,15,1,0,1,6,6,432.2,56,IBEDC,Enugu,ussd,1
TXN0000280,21918,19,2,0,0,0,2,1,0.2,307,PHEDC,Imo,ussd,0
TXN0000281,135555,3,12,0,1,0,5,8,164.5,16,BEDC,Lagos,web,1
TXN0000282,3980,18,2,0,0,0,2,0,5.0,1985,IKEDC,Borno,web,0
TXN0000283,141976,23,18,1,1,1,10,4,90.8,10,EKEDC,Oyo,ussd,1
TXN0000284,20335,12,1,0,0,0,1,0,6.9,1559,JEDC,Abuja,web,0
TXN0000285,2773,11,2,0,0,0,1,0,13.2,1623,PHEDC,Lagos,web,0
TXN0000286,9958,19,1,0,0,0,2,0,8.6,1413,BEDC,Borno,agent,0
TXN0000287,4483,9,1,0,0,0,1,0,3.4,131,JEDC,Edo,mobile_app,0
TXN0000288,5478,13,1,1,0,0,2,1,6.3,252,YEDC,Imo,mobile_app,0
TXN0000289,20344,12,1,0,0,0,1,1,1.5,1509,YEDC,Oyo,web,0
TXN0000290,12432,18,2,1,1,0,1,0,1.1,1214,AEDC,Edo,web,0
TXN0000291,16639,20,1,0,0,0,1,1,5.6,957,AEDC,Abuja,web,0
TXN0000292,6959,9,1,0,0,0,2,1,0.4,1355,PHEDC,Imo,web,0
TXN0000293,1569,16,2,0,0,0,1,1,3.4,1770,BEDC,Imo,web,0
TXN0000294,2523,7,1,0,0,0,1,0,12.4,861,EEDC,Edo,web,0
TXN0000295,9798,18,3,1,1,0,2,1,9.6,203,PHEDC,Enugu,web,0
TXN0000296,22303,15,3,0,0,0,1,1,5.0,1216,BEDC,Imo,web,0
TXN0000297,17768,18,2,0,0,0,1,1,5.6,834,JEDC,Rivers,agent,0
